Year,Winners,Score,Runners-up,Venue
1930,Uruguay,4-2,Argentina,Estadio Centenario
1934,Italy,2-1,Czechoslovakia,Stadio Nazionale PNF
1938,Italy,4-2,Hungary,Stade Olympique de Colombes
1942,Editions not played because of World War II., , , 
1946,Editions not played because of World War II., , ,
1950,Uruguay,2-1,Brazil,Estadio do Maracana
1954,West Germany,3-2,Hungary,Wankdorf Stadium
1958,Brazil,5-2,Sweden,Råsunda Stadium
1962,Brazil,3-1,Czechoslovakia,Estadio Nacional
1966,England,4-2,West Germany,Wembley Stadium
1970,Brazil,4-1,Italy,Estadio Azteca
1974,West Germany,2-1,Netherlands,Olympiastadion
1978,Argentina,3-1,Netherlands,Estadio Monumental
1982,Italy,3-1,West Germany,Santiago Bernabéu
1986,Argentina,3-2,West Germany,Estadio Azteca
1990,West Germany,1-0,Argentina,Stadio Olimpico
1994,Brazil,0-0,Italy,Rose Bowl
1998,France,3-0,Brazil,Stade de France
2002,Brazil,2-0,Germany,International Stadium
2006,Italy,1-1,France,Olympiastadion
2010,Spain,1-0,Netherlands,Soccer City
2014,Germany,1-0,Argentina,Estadio do Maracana
2018,France,4-2,Croatia,Luzhniki Stadium
2022,Argentina,3–3 (4–2p),France,Lusail Stadium
